,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1210,603789,星光农机,0.18,-47.97,,3.47,,3646.46,-37.56,,08-27
1211,600377,宁沪高速,0.31,-9.68,,7.34,,155981.93,-9.66,,08-27
1212,000678,襄阳轴承,-0.01,-78.57,,-0.24,,-233.67,-80.28,,08-27
1213,600759,洲际油气,0.01,-8.64,,0.32,,1672.7,19.19,,08-27
1214,300154,瑞凌股份,0.1,-56.52,3.37,3.0,0.15,4638.93,-10.69,,08-27
1215,002459,天业通联,0.01,-118.0,,0.29,,350.1,-117.9,,08-27
1216,600099,林海股份,0.01,-6.06,,0.29,,135.1,-6.98,,08-27
1217,600491,龙元建设,0.1,5.72,,2.76,,13064.62,40.81,,08-27
1218,002805,丰元股份,0.2,-23.08,,3.5,,1454.99,-22.89,,08-27
1219,603100,川仪股份,0.16,-15.79,,3.51,,6380.69,-13.06,,08-27
1220,000813,德展健康,-0.05,-495.0,,-2.1,,-2213.89,-496.28,,08-27
1221,300267,尔康制药,0.26,-16.13,2.25,11.9,0.05,52706.37,84.98,,08-27
1222,002202,金风科技,0.53,14.69,,8.29,,145011.58,16.43,,08-27
1223,600190,锦州港,0.01,-77.22,,0.43,,2508.84,-77.33,,08-27
1224,600638,新黄浦,0.14,-1.98,,2.21,,8075.56,-2.0,,08-27
1225,300381,溢多利,0.27,7.1,13.51,2.44,-0.65,3230.85,26.9,10派1转20,08-27
1226,300386,飞天诚信,0.07,-88.89,3.54,1.91,-0.31,2883.32,-51.89,,08-27
1227,300402,宝色股份,-0.29,-2960.0,3.15,-8.65,-0.2,-5776.77,-2950.86,,08-27
1228,300111,向日葵,0.05,2400.0,1.18,4.2,0.15,5428.33,2633.14,,08-27
1229,601633,长城汽车,0.54,-65.19,,12.15,,492560.15,4.42,,08-27
1230,603699,纽威股份,0.19,-38.71,,5.6,,14020.45,-40.09,,08-27
1231,603885,吉祥航空,0.61,-39.6,,16.61,,71020.72,37.18,,08-27
1232,002758,华通医药,0.15,-67.39,,3.77,,2037.61,0.7,,08-27
